scenario_id,min_sdc_distance_m,mean_min_sdc_distance_m,num_close_interactions,num_timesteps_with_close_actor,closest_actor_type,closest_actor_track_id,sdc_avg_speed_mps,sdc_max_speed_mps,sdc_distance_traveled_m,num_unique_close_actors,scenario_interest_score
368ae7945c8202ec,4.413306211789367,7.164670397246807,23,23,VEHICLE,368ae7945c8202ec_1454,14.547807624559042,16.1780927528513,130.91039523743947,1,0.6248799396415301
37d41f0cd357379d,3.357904253732101,3.6910882604354462,150,91,VEHICLE,37d41f0cd357379d_258,0.0006425437041900219,0.0021436483211881114,0.00869031109474392,3,0.5950214943421169
2d84b1ab55ab81d3,3.292703762592095,5.635554367066048,43,43,VEHICLE,2d84b1ab55ab81d3_137,2.1882040337669952,3.5417414281118464,19.768086273729022,2,0.5832179745617594
f3423644c33320eb,9.964791258555737,12.223738772753432,0,0,VEHICLE,f3423644c33320eb_50,15.274634778947345,17.263011630916694,137.63921025369768,0,0.5049924730680285
19a486cd29abd7a7,10.223109821563572,23.03148189013834,0,0,VEHICLE,19a486cd29abd7a7_368,11.924511873035424,18.383340822737303,107.48127040834954,0,0.4914174639602657
3505972c220e6b3a,4.958550131984821,19.917239806851025,1,1,VEHICLE,3505972c220e6b3a_1824,11.13389078870647,11.219758893693305,100.20251547984817,1,0.4598593288894705
214dfc443104674a,3.696886476964904,9.019446919886162,16,16,VEHICLE,214dfc443104674a_5,2.4080962260649663,2.9846143242483434,21.71548292697004,1,0.4297346560574718
32275d7231509117,9.607105147317993,12.262485668917273,0,0,VEHICLE,32275d7231509117_219,6.069101290643956,8.39204920154738,54.60599533580627,0,0.39443939128028216
cb481a607e0df310,7.751354105578358,9.016433939215036,0,0,VEHICLE,cb481a607e0df310_425,3.8190826707014507,4.768105342211605,34.5218164344468,0,0.3554057509549163
e9653159c09f5c72,10.123630308641665,13.796582350565433,0,0,PEDESTRIAN,e9653159c09f5c72_4374,1.860335405537697,2.4083563255520346,16.73963720346715,0,0.32107450972198
